1011139,Cammi,4
1009219,Cannonball,300
1011276,Cap'n Oz,0
1009220,Captain America,2528
1010914,Captain America (House of M),3
1017295,Captain America (LEGO Marvel Super Heroes),0
1017327,Captain America (Marvel War of Heroes),0
1017575,Captain America (Sam Wilson),86
1010913,Captain America (Ultimate),75
1017105,Captain America/Steve Rogers (MAA),0
1009223,Captain Britain,181
1017856,Captain Britain (Betsy Braddock),35
1010915,Captain Britain (Ultimate),3
1011190,Captain Cross,0
1011196,Captain Flint,0
1010338,Captain Marvel (Carol Danvers),640
1011096,Captain Marvel (Genis-Vell),70
1009224,Captain Marvel (Mar-Vell),201
1011095,Captain Marvel (Monica Rambeau),38
1011097,Captain Marvel (Phyla-Vell),18
1011355,Captain Midlands,0
1009225,Captain Stacy,10
1011027,Captain Universe,24
1011052,Cardiac,10
1010143,Caretaker,4
1009226,Cargill,1
1011258,Carlie Cooper,69
1009688,Carmella Unuscione,11
1009227,Carnage,180
1010916,Carnage (Ultimate),7
1009261,Carol Danvers,31
1009344,Carol Hines,0
1011937,Carrion (Malcolm McBride),6
1009478,Cassandra Nova,14
1009230,Catseye,1
1009536,Cecilia Reyes,24
1010813,Celestials,26
1011039,Centennial,12
1011140,Centurions,0
1009231,Cerebro,7
1011141,Cerise,2
1009232,Ch'od,39
1009233,Chamber,57
1009234,Chameleon,44
1010756,Champions,47
1011015,Changeling,0
1009733,Charles Xavier,91
1011331,Charlie Campion,0
1012019,Charlie-27,39
1010754,Chase Stein,16
1011359,Chat,0
1009237,Chimera,6
1011411,Chores MacGillicudy,1
1011187,Christian Walker,2
1009238,Chronomancer,3
1012065,Chthon,4
1011270,ClanDestine,20
1009239,Clea,130
1014999,Clea (Ultimate),2
1010809,Clint Barton,34
1009241,Cloak,131
1010823,Cloud 9,20
1011286,Cobalt Man,4
1010676,Colleen Wing,89
1010798,Colonel America,0
1009243,Colossus,708
1010917,Colossus (Ultimate),64
1011410,Confederates of the Curious,1
1009245,Constrictor,37
1011407,Contessa (Vera Vidal),1
1010346,Controller,7
1009246,Cornelius,0
1009247,Corsair,32
1011353,Cosmo (dog),15
1011362,Cottonmouth,2
1009249,Count Nefaria,33
1009250,Countess,1
1011272,Crimson Crusader,0
1009251,Crimson Dynamo,40
1017323,Crimson Dynamo (Iron Man 3 - The Official Game),0
1011169,Crimson King,0
1009252,Crossbones,49
1009253,Crule,9
1009254,Crusher Hogan,3
1014991,Crusher Hogan (Ultimate),4
1009255,Crystal,124
1011268,Cuckoo,1
1009244,Curt Conners,18
1011174,Cuthbert,0
1009256,Cyber,21
1009257,Cyclops,997
1010918,Cyclops (Ultimate),67
1017473,Cyclops (X-Men: Battle of the Atom),0
1011385,Cypher,28
1011050,D'Ken Neramani,2
1009258,Dagger,135
1010774,Daily Bugle,3
1010719,Daimon Hellstrom,60
1011001,Daken,152
1011333,Dakota North,20
1009259,Damage Control,18
1009453,Dani Moonstar,79
1010776,Danny Rand,5
1009262,Daredevil,1273
1017292,Daredevil (LEGO Marvel Super Heroes),0
1017312,Daredevil (Marvel Heroes),0
1010919,Daredevil (Ultimate),22
1011306,Dargo Ktor,1
1011367,Dark Avengers,79
1010907,Dark Beast,10
1009265,Dark Phoenix,21
1011387,Dark X-Men,15
1011020,Darkhawk,58
1009266,Darkstar,24
1011016,Darwin,12
1009267,Dazzler,226
1010920,Dazzler (Ultimate),16
1010341,Deacon Frost,1
1011087,Dead Girl,9
1009268,Deadpool,937
1017316,Deadpool (Deadpool),0
1017336,Deadpool (LEGO Marvel Super Heroes),0
1017474,Deadpool (X-Men: Battle of the Atom),0
1009269,Death,32
1009270,Deathbird,39
1011037,Deathcry,8
1010890,Deathlok,105
1014997,Deathstrike (Ultimate),1
1009713,Debra Whitman,1
1010717,Debrii,9
1011188,Deena Pilgrim,3
1011023,Defenders,215
1011071,Demogoblin,10
1009271,Destiny,52
1009272,Detective Soap,3
1011107,Deviants,10
1017583,Devil Dinosaur (Devil Dinosaur),103
1017102,Devil Dinosaur (HAS),0
1011142,Devos,4
1011260,Dexter Bennett,3
1009273,Diablo,28
1009274,Diamondback (Rachel Leighton),54
1011040,Dinah Soar,3
1010997,Dirk Anger,0
1009275,Doc Samson,112
1009281,Doctor Doom,495
1011103,Doctor Doom (Ultimate),12
1011206,Doctor Faustus,9
1009276,Doctor Octopus,185
1010921,Doctor Octopus (Ultimate),15
1010689,Doctor Spectrum,21
1009282,Doctor Strange,957
1011358,Doctor Strange (Ultimate),11
1011500,Doctor Voodoo,50
1011235,Dog Brother #1,9
1009277,Domino,291
1010330,Donald Blake,15
1009278,Doomsday Man,3
1009279,Doop,39
1010879,Doorman,5
1017835,Dora Milaje,37
1011195,Dorian Gray,0
1009280,Dormammu,55
1014992,Dormammu (Ultimate),3
1017300,Dr. Strange (Marvel: Avengers Alliance),0
1010677,Dracula,124
1011247,Dragon Lord,4
1009283,Dragon Man,37
1010735,Drax,82
1010368,Dreadnoughts,5
1015007,Dreaming Celestial,3
1011322,Druig,4
1009284,Dum Dum Dugan,67
1009285,Dust,25
1009286,Earthquake,7
1010785,Echo,54
1010787,Eddie Brock,239
1009396,Eddie Lau,0
1010999,"Edward ""Ted"" Forrester",0
1011072,Edwin Jarvis,107
1011060,Ego,17
1009287,Electro,96
1010922,Electro (Ultimate),7
1009288,Elektra,251
1010923,Elektra (Ultimate),11
1010355,Elements of Doom,1
1009290,Elite,1
1011082,Elixir,28
1011122,Elloe Kaifi,3
1010701,Elsa Bloodstone,50
1017858,Emily Bright (Emily Bright),1
1009310,Emma Frost,447
1009291,Empath,30
1009292,Emplate,15
1010671,Enchantress (Amora),29
1011432,Enchantress (Sylvie Lushton),2
1011313,Ender Wiggin,5
1010445,Energizer,10
1011065,Epoch,0
1009293,Erik the Red,6
1010807,Eternals,99
1011061,Eternity,20
1010771,Excalibur,224
1012378,Executioner (Skurge),4
1009294,Exiles,146
1009295,Exodus,33
1009296,Expediter,0
1011199,Ezekiel,8
1011317,Ezekiel Stane,17
1009248,Fabian Cortez,6
1009297,Falcon,208
1017110,Falcon/Sam Wilson (MAA),0
1011143,Fallen One,0
1009298,Famine,15
